sa1_main16, non_sc_quals_adv_dip_dip_p, non_sc_qua_gra_dip_gra_cer_p, sa1_7dig16, non_sc_quals_postgrad_deg_p, non_sc_quals_bachelor_deg_p, p_aged_15_yr_over_p
"20701114801",28,7,"2114801",35,79,278
"20701114802",39,20,"2114802",31,115,391
"20701114804",31,14,"2114804",42,94,356
"20701114806",33,13,"2114806",42,105,369
"20701114816",37,12,"2114816",48,114,435
"20701114819",20,8,"2114819",46,81,315
"20701114830",34,19,"2114830",28,93,333
"20701114832",34,13,"2114832",53,128,493
"20701114836",19,10,"2114836",21,49,209
"20701114841",46,9,"2114841",34,102,401
"20701114842",16,12,"2114842",13,69,227
"20701114843",29,14,"2114843",18,77,264
"20701114845",32,16,"2114845",35,89,365
"20701114907",49,27,"2114907",105,195,609
"20701114901",22,25,"2114901",51,114,372
"20701114903",17,6,"2114903",38,95,250
"20701114910",31,6,"2114910",38,97,330
"20701114911",34,12,"2114911",24,100,306
"20701114912",34,16,"2114912",34,59,272
"20701114914",32,9,"2114914",37,97,300
"20701114926",32,15,"2114926",29,79,283
"20701114929",22,12,"2114929",37,115,318
"20701114937",19,16,"2114937",20,64,227
"20701114939",43,30,"2114939",44,106,480
"20701114943",28,18,"2114943",46,108,357
"20701114944",32,26,"2114944",42,132,441
"20701114945",19,8,"2114945",22,63,218
"20701114947",26,13,"2114947",53,104,303
"20701115002",45,25,"2115002",47,112,372
"20701115008",10,14,"2115008",25,64,206
"20701115013",51,22,"2115013",42,129,461
"20701115014",26,12,"2115014",34,91,269
"20701115017",17,15,"2115017",34,84,249
"20701115023",31,11,"2115023",39,104,432
"20701115026",37,39,"2115026",53,141,442
"20701115029",33,14,"2115029",46,128,368
"20701115033",29,20,"2115033",35,84,279
"20701115034",21,20,"2115034",42,64,239
"20701115103",33,17,"2115103",44,116,322
"20701115107",21,17,"2115107",50,116,344
"20701115108",21,12,"2115108",33,80,230
"20701115113",44,26,"2115113",84,212,586
"20701115115",20,13,"2115115",36,88,266
"20701115118",76,26,"2115118",165,351,1037
"20701115121",50,21,"2115121",71,187,517
"20701115122",65,39,"2115122",90,205,619
"20701115123",40,22,"2115123",78,143,458
"20701115127",24,12,"2115127",70,125,395
"20701115133",30,21,"2115133",68,132,427
"20701115135",32,9,"2115135",42,150,420
"20701115136",17,15,"2115136",43,68,267
"20701115138",27,16,"2115138",43,142,338
"20701115140",21,6,"2115140",52,90,381
"20701115141",47,4,"2115141",42,113,795
"20701115143",29,20,"2115143",69,119,366
"20701115144",39,17,"2115144",95,186,515
"20701115204",21,12,"2115204",23,101,267
"20701115208",21,10,"2115208",27,93,306
"20701115209",19,16,"2115209",54,121,389
"20701115215",30,22,"2115215",48,145,391
"20701115217",48,23,"2115217",72,176,558
"20701115220",48,34,"2115220",73,178,538
"20701115228",38,20,"2115228",44,122,395
"20701115229",26,19,"2115229",60,138,385
"20701115314",31,8,"2115314",36,91,274
"20701115316",52,19,"2115316",66,166,520
"20701115326",36,19,"2115326",37,97,317
"20701115332",33,16,"2115332",21,67,248
"20701115334",28,23,"2115334",58,125,387
"20701115336",43,23,"2115336",58,112,377
"20701115337",12,12,"2115337",26,76,222
"20701115338",31,10,"2115338",42,82,322
"20701115342",36,18,"2115342",44,93,346
"20701115352",21,6,"2115352",25,55,274
"20701115354",26,12,"2115354",41,101,323
"20701115401",15,9,"2115401",15,71,220
"20701115402",23,6,"2115402",26,82,230
"20701115535",21,10,"2115535",33,85,254
"20701115543",11,8,"2115543",15,51,153
"20702115601",29,10,"2115601",13,79,326
"21205132108",39,7,"2132108",34,95,375
"20702115612",27,14,"2115612",29,69,291
"20701115355",0,0,"2115355",0,0,0
"20701115360",27,12,"2115360",45,109,333
"20701115414",22,15,"2115414",21,65,225
"20701115509",25,6,"2115509",39,78,272
"20701115523",15,11,"2115523",26,66,169
"20701115524",30,9,"2115524",41,121,357
"20702115615",29,15,"2115615",26,74,424
"20702115617",23,7,"2115617",9,50,314
"20702115624",19,3,"2115624",15,45,277
"20702115625",39,4,"2115625",17,80,342
"20702115626",23,7,"2115626",20,76,316
"20702115628",30,4,"2115628",9,53,318
"20702115706",41,6,"2115706",18,73,354
"20702115720",39,14,"2115720",28,80,326
"20702115907",33,9,"2115907",32,82,387
"20702115909",20,3,"2115909",17,68,245
"20702115710",46,12,"2115710",45,126,483
"20702115718",15,5,"2115718",41,77,294
"20702115726",27,7,"2115726",30,57,354
"20702115727",17,8,"2115727",18,58,270
"20702115732",42,14,"2115732",51,101,484
"20702115739",26,0,"2115739",16,53,273
"20702115740",27,7,"2115740",11,41,188
"20702115742",42,12,"2115742",41,91,407
"20702115902",12,3,"2115902",14,53,183
"20702115913",13,10,"2115913",24,52,166
"20702115922",34,12,"2115922",45,91,355
"20702115928",6,3,"2115928",19,69,239
"20702115935",16,5,"2115935",26,45,184
"20702116006",40,9,"2116006",33,79,408
"20702116011",31,16,"2116011",25,62,318
"20702116030",15,10,"2116030",9,40,188
"20702116019",43,15,"2116019",30,100,476
"20702115932",13,0,"2115932",7,24,146
"20702115943",27,13,"2115943",32,88,315
"20702116003",29,9,"2116003",19,78,315
"20702116021",23,17,"2116021",27,49,232
"20702116023",38,13,"2116023",23,102,452
"20702142401",24,14,"2142401",33,89,343
"20702142406",35,4,"2142406",21,82,464
"20702142409",38,10,"2142409",28,78,368
"20702142412",41,8,"2142412",25,58,295
"20702142414",30,7,"2142414",29,70,337
"20702142415",35,8,"2142415",26,113,445
"20702142420",27,5,"2142420",30,87,353
"20702142422",53,11,"2142422",26,86,394
"20702142424",24,5,"2142424",16,45,210
"20702142425",42,13,"2142425",27,89,425
"20702142434",32,7,"2142434",22,71,270
"20702142501",38,12,"2142501",26,72,417
"20703116308",60,22,"2116308",49,96,488
"20702142503",54,16,"2142503",21,94,442
"20702142504",29,6,"2142504",23,67,296
"20702142512",34,9,"2142512",29,96,350
"20702142526",27,6,"2142526",19,65,283
"20702142527",22,3,"2142527",22,38,179
"20702142528",38,11,"2142528",38,72,402
"20702142532",39,13,"2142532",36,100,369
"20702142535",25,4,"2142535",18,58,239
"20703116101",31,8,"2116101",15,58,257
"20703116106",24,5,"2116106",32,69,335
"20703116112",39,19,"2116112",24,104,416
"20703116115",31,19,"2116115",39,83,344
"20801116822",21,3,"2116822",18,63,220
"20703116125",50,16,"2116125",40,76,468
"20703116129",37,20,"2116129",16,108,382
"20703116139",43,23,"2116139",34,124,439
"20703116141",35,10,"2116141",52,104,389
"20703116203",34,10,"2116203",35,71,333
"20703116205",30,5,"2116205",36,58,260
"20703116207",23,6,"2116207",22,65,276
"20703116222",29,5,"2116222",32,70,293
"20703116224",22,21,"2116224",19,47,221
"20703116225",43,18,"2116225",33,56,407
"20703116306",53,11,"2116306",38,92,442
"20703116312",74,14,"2116312",73,151,663
"20703116314",26,15,"2116314",37,114,403
"20703116320",45,17,"2116320",38,82,328
"20703116321",31,6,"2116321",36,69,339
"20703116324",39,11,"2116324",37,100,419
"20703116325",22,7,"2116325",22,61,203
"20703116326",35,4,"2116326",47,88,342
"20703116330",46,19,"2116330",78,149,514
"20703116331",35,17,"2116331",15,53,282
"20703116404",48,20,"2116404",55,93,423
"20801116910",71,21,"2116910",46,177,590
"20703116405",37,11,"2116405",33,90,349
"20703116406",30,12,"2116406",28,69,271
"20703116434",15,13,"2116434",29,74,298
"20703116437",22,3,"2116437",14,37,221
"20703116502",43,11,"2116502",38,102,390
"20703116503",90,6,"2116503",66,178,857
"20703116514",44,8,"2116514",37,110,406
"20703116522",35,16,"2116522",19,75,298
"20703116524",36,6,"2116524",36,77,356
"20703116621",52,7,"2116621",50,117,501
"20703116529",26,7,"2116529",31,84,339
"20703116603",38,7,"2116603",31,106,438
"20703116607",24,7,"2116607",35,39,255
"20703116611",19,9,"2116611",16,45,192
"20703116612",18,7,"2116612",11,43,196
"20703116613",40,6,"2116613",26,70,320
"20703116614",32,8,"2116614",42,103,376
"20703116615",24,7,"2116615",22,81,315
"20703116616",15,4,"2116616",15,28,189
"20801116912",37,16,"2116912",35,94,357
"20703116619",30,9,"2116619",17,61,305
"20703116620",58,8,"2116620",46,121,559
"20703116622",26,0,"2116622",17,42,232
"20703116624",30,6,"2116624",34,67,279
"20703116701",36,23,"2116701",32,108,345
"20703116708",38,16,"2116708",53,119,375
"20703116710",52,17,"2116710",51,108,415
"20703116712",35,11,"2116712",38,93,323
"20703116723",48,17,"2116723",62,159,429
"20801116804",33,15,"2116804",27,91,361
"20801116805",34,14,"2116805",20,97,330
"20801116807",34,6,"2116807",21,73,266
"20801116809",38,19,"2116809",24,110,402
"20801116811",31,12,"2116811",12,46,213
"20801116827",28,7,"2116827",28,69,256
"20801116830",23,8,"2116830",24,61,227
"20801116831",29,17,"2116831",21,60,250
"20801116832",34,10,"2116832",9,58,217
"20801116901",33,8,"2116901",34,74,289
"20801116905",19,14,"2116905",29,66,294
"20801116908",17,8,"2116908",28,50,203
"20801116922",27,11,"2116922",23,87,276
"20801116933",44,24,"2116933",62,146,502
"20801116939",30,10,"2116939",30,82,350
"20801116945",18,6,"2116945",24,63,197
"20801117007",23,7,"2117007",17,66,198
"20801117015",25,10,"2117015",22,91,309
"20801117018",34,7,"2117018",32,86,287
"20801117022",48,19,"2117022",27,89,384
"20801117024",19,11,"2117024",16,56,213
"20801117201",37,7,"2117201",48,113,398
"20801117027",27,6,"2117027",29,90,304
"20801117032",43,18,"2117032",31,105,430
"20801117036",29,16,"2117036",42,90,315
"20801117038",34,12,"2117038",32,93,305
"20801117101",40,9,"2117101",23,99,415
"20801117102",44,14,"2117102",20,102,380
"20801117103",33,9,"2117103",19,57,242
"20801117107",44,16,"2117107",28,112,443
"20801117113",32,9,"2117113",17,58,268
"20801117114",39,13,"2117114",28,58,280
"20801117116",52,16,"2117116",25,97,419
"20801117117",54,10,"2117117",21,86,392
"20801117223",37,19,"2117223",31,95,404
"20801117231",43,5,"2117231",21,86,294
"20801117233",23,9,"2117233",13,37,179
"20801117234",29,7,"2117234",27,71,270
"20801117238",65,11,"2117238",29,109,406
"20801117307",39,13,"2117307",44,96,341
"20801117312",35,17,"2117312",33,93,328
"20801117313",28,18,"2117313",41,87,315
"20801117318",24,8,"2117318",22,54,224
"20801117320",39,10,"2117320",45,96,344
"20802117409",48,15,"2117409",36,90,389
"20801117325",38,7,"2117325",26,75,281
"20801117326",50,12,"2117326",49,106,418
"20801117327",40,15,"2117327",27,87,290
"20801117330",37,17,"2117330",31,102,368
"20801117334",32,11,"2117334",27,82,300
"20801117335",43,17,"2117335",39,84,404
"20802117401",52,18,"2117401",47,106,443
"20802117403",35,12,"2117403",37,85,412
"20802117405",41,19,"2117405",53,108,440
"20802117411",27,15,"2117411",42,97,362
"20802117412",45,14,"2117412",52,118,499
"20802117413",29,13,"2117413",21,65,247
"20802117414",74,20,"2117414",47,138,647
"20802117424",46,13,"2117424",24,90,374
"20802117432",25,7,"2117432",28,49,226
"20802117434",33,3,"2117434",29,73,322
"20802117435",46,11,"2117435",27,88,412
"20802117437",39,8,"2117437",31,69,298
"20802117440",60,17,"2117440",41,99,520
"20802142701",32,6,"2142701",18,73,308
"20802117451",28,4,"2117451",23,59,229
"20802117605",47,13,"2117605",52,111,388
"20802117620",38,7,"2117620",27,76,319
"20802117629",39,7,"2117629",57,103,405
"20802117633",53,30,"2117633",76,185,584
"20802117635",23,3,"2117635",32,67,233
"20802117638",25,14,"2117638",58,92,330
"20802117701",47,7,"2117701",54,163,567
"20802117711",25,7,"2117711",36,100,310
"20802117713",23,17,"2117713",43,107,343
"20802117730",48,12,"2117730",23,102,380
"20802117736",25,15,"2117736",24,110,261
"20802117742",40,18,"2117742",55,176,434
"20802117744",13,8,"2117744",8,34,163
"20802117745",36,17,"2117745",42,123,465
"20802117747",15,9,"2117747",25,67,231
"20802117803",47,10,"2117803",24,85,318
"20802117808",27,5,"2117808",17,82,248
"20802117815",54,18,"2117815",33,139,477
"20802117819",17,11,"2117819",16,79,258
"20802117820",25,10,"2117820",18,76,262
"20802117826",41,16,"2117826",45,125,425
"20802117835",25,19,"2117835",48,136,405
"20802117906",53,28,"2117906",52,139,458
"20802117915",48,25,"2117915",56,127,465
"20802117918",23,18,"2117918",41,99,357
"20802117928",18,4,"2117928",29,73,215
"20802118001",19,3,"2118001",26,45,271
"20802118002",24,8,"2118002",29,70,250
"20802118006",37,6,"2118006",48,105,365
"20802118008",21,10,"2118008",23,77,284
"20802118014",59,12,"2118014",55,116,498
"20802118016",28,15,"2118016",23,76,353
"20802118107",40,16,"2118107",85,149,446
"20802118110",40,21,"2118110",43,113,392
"20802118114",38,16,"2118114",25,95,354
"20802118201",46,17,"2118201",34,108,417
"20802118203",69,21,"2118203",104,201,658
"20802118204",53,18,"2118204",101,263,724
"20802118213",41,13,"2118213",51,97,382
"20802118214",33,19,"2118214",47,109,422
"20802118224",49,16,"2118224",44,155,514
"20802118227",35,12,"2118227",55,90,338
"20802142607",29,8,"2142607",16,43,259
"20802142608",39,15,"2142608",21,63,331
"20802142611",22,8,"2142611",6,37,244
"20803118631",51,17,"2118631",9,58,410
"20802142613",36,14,"2142613",33,121,387
"20802142616",22,3,"2142616",20,64,262
"20802142617",22,9,"2142617",26,73,311
"20802142625",26,4,"2142625",21,58,242
"20802142627",39,8,"2142627",27,88,398
"20802142702",24,5,"2142702",19,42,286
"20802142705",30,13,"2142705",30,69,343
"20802142708",33,8,"2142708",8,77,266
"20802142709",67,20,"2142709",35,136,549
"20802142714",62,10,"2142714",23,89,445
"20802142725",43,8,"2142725",33,84,381
"20803118313",44,4,"2118313",18,51,349
"20803118322",37,9,"2118322",37,96,354
"20803118624",30,8,"2118624",20,53,332
"20803118501",43,17,"2118501",15,40,385
"20803118509",44,4,"2118509",17,65,453
"20803118705",22,0,"2118705",4,16,160
"20803118515",56,6,"2118515",23,76,492
"20803118603",42,12,"2118603",14,68,381
"20803118525",30,9,"2118525",14,74,363
"20803118528",3,0,"2118528",3,7,171
"20803118606",53,11,"2118606",7,49,314
"20803118610",43,13,"2118610",17,88,456
"20803118612",46,14,"2118612",18,52,357
"20803118613",31,11,"2118613",19,54,403
"20803118620",39,21,"2118620",3,49,351
"20803118625",67,13,"2118625",13,59,432
"20803118628",47,5,"2118628",22,58,389
"20803118703",45,7,"2118703",8,50,398
"20803118711",31,14,"2118711",10,52,354
"20803118802",28,13,"2118802",21,69,358
"20803118805",75,27,"2118805",22,107,502
"20803118809",109,29,"2118809",59,151,802
"20803118810",35,11,"2118810",29,90,368
"20803118811",55,6,"2118811",27,104,434
"20803118816",57,17,"2118816",26,73,546
"20803118817",48,5,"2118817",25,65,403
"20803118818",16,4,"2118818",9,52,329
"20803118828",26,6,"2118828",16,41,245
"20803118830",46,11,"2118830",23,75,435
"20803118831",32,12,"2118831",18,54,310
"20803118833",29,3,"2118833",11,51,227
"20803118835",28,9,"2118835",30,69,338
"20803118837",56,17,"2118837",33,127,518
"20803118838",25,12,"2118838",10,49,258
"20803118843",32,4,"2118843",27,54,320
"20803118844",26,4,"2118844",9,39,204
"20803118845",23,4,"2118845",11,33,241
"20803118928",27,11,"2118928",8,54,223
"20803118903",46,3,"2118903",12,61,327
"20803118904",44,13,"2118904",25,83,393
"20803118905",29,11,"2118905",19,50,296
"20803118909",34,13,"2118909",7,56,300
"20803118912",61,10,"2118912",9,68,450
"20803118913",50,9,"2118913",20,99,471
"20803118914",17,6,"2118914",6,49,240
"20803118916",43,12,"2118916",20,53,337
"20803118921",35,12,"2118921",18,51,303
"20803118927",21,4,"2118927",16,57,289
"20803119010",65,21,"2119010",35,126,568
"20803119014",65,25,"2119014",27,126,553
"20803119015",0,0,"2119015",0,0,0
"20803119016",36,10,"2119016",26,50,307
"20803119019",52,11,"2119019",34,83,380
"20803119020",24,8,"2119020",18,51,213
"20803119021",19,11,"2119021",9,33,218
"20803119029",22,8,"2119029",17,57,205
"20803119034",28,6,"2119034",3,27,149
"20803119319",41,11,"2119319",11,63,292
"20803119101",25,13,"2119101",17,65,259
"20803119103",0,0,"2119103",0,0,75
"20803119111",42,14,"2119111",19,75,330
"20803119117",26,3,"2119117",11,33,188
"20803119121",24,3,"2119121",10,28,270
"20803119201",0,0,"2119201",0,0,0
"20803119310",41,23,"2119310",19,87,356
"20803119313",47,17,"2119313",17,62,373
"20803119314",52,19,"2119314",33,81,462
"20803119316",36,13,"2119316",5,73,377
"20803119326",44,16,"2119326",30,113,446
"20803119328",38,14,"2119328",23,72,308
"20803119331",40,19,"2119331",26,65,332
"20803119332",49,21,"2119332",24,75,401
"20803119334",27,19,"2119334",26,50,338
"20803119337",38,6,"2119337",18,66,314
"20804119401",31,19,"2119401",36,106,329
"20804119402",51,23,"2119402",52,161,460
"20804119412",25,8,"2119412",18,72,240
"20804119413",29,18,"2119413",32,112,297
"20804119422",47,12,"2119422",78,202,567
"20804119424",32,11,"2119424",47,129,380
"20804119425",27,18,"2119425",77,164,466
"20804119426",37,18,"2119426",53,110,320
"20804119429",42,10,"2119429",29,74,302
"20804119434",29,20,"2119434",46,136,402
"20804119439",26,14,"2119439",38,99,293
"20804119440",43,15,"2119440",55,156,442
"20804119442",10,10,"2119442",36,95,298
"20804119443",45,11,"2119443",62,179,532
"20804119448",21,15,"2119448",32,61,217
"20804119501",49,32,"2119501",42,133,516
"20804119509",33,15,"2119509",46,127,382
"20804119510",28,16,"2119510",47,114,369
"20804119520",57,22,"2119520",36,150,466
"20804119522",46,22,"2119522",44,105,380
"20804119525",39,12,"2119525",28,77,298
"20804119538",40,3,"2119538",29,90,351
"20804119539",28,13,"2119539",25,76,232
"20804119542",29,21,"2119542",44,99,315
"20804119544",38,16,"2119544",47,101,358
"20804119547",17,14,"2119547",16,43,138
"20804119548",16,7,"2119548",10,60,182
"20901119606",36,8,"2119606",28,57,377
"20901119607",40,9,"2119607",18,56,397
"20901119610",30,13,"2119610",13,51,313
"20901119615",35,4,"2119615",25,70,367
"20901119616",24,8,"2119616",21,52,321
"20901119619",28,8,"2119619",16,43,310
"20901119621",24,6,"2119621",7,43,245
"20901119623",28,3,"2119623",13,65,299
"20901119624",47,7,"2119624",33,110,533
"20901119702",45,16,"2119702",19,64,298
"20901119703",56,18,"2119703",21,84,456
"20901119714",39,14,"2119714",7,44,303
"20901119731",23,24,"2119731",14,46,326
"20901119709",26,10,"2119709",18,42,257
"20901119904",33,4,"2119904",21,68,366
"20901119717",27,5,"2119717",17,48,275
"20902120819",40,3,"2120819",19,45,298
"20901119921",31,20,"2119921",20,67,379
"20901119728",36,8,"2119728",13,43,276
"20901119729",31,12,"2119729",6,58,292
"20901119735",25,11,"2119735",9,68,276
"20901119736",18,5,"2119736",3,31,210
"20901119741",23,6,"2119741",17,59,312
"20901119745",27,13,"2119745",19,49,280
"20901119922",26,13,"2119922",22,64,330
"20901119753",28,10,"2119753",11,43,266
"20901119806",31,13,"2119806",30,94,318
"20901119809",14,13,"2119809",29,86,228
"20901119813",41,15,"2119813",43,97,353
"20901119817",32,16,"2119817",37,88,367
"20901119818",42,29,"2119818",32,92,411
"20901119823",34,26,"2119823",41,95,413
"20901119905",43,9,"2119905",28,68,527
"20901119829",39,18,"2119829",30,84,343
"20901119833",20,14,"2119833",39,49,255
"20901119902",29,5,"2119902",12,47,336
"20901120315",26,9,"2120315",22,74,312
"20901120317",22,7,"2120317",22,57,289
"20901119903",27,3,"2119903",18,39,292
"20901119908",17,3,"2119908",18,34,284
"20901119910",20,9,"2119910",14,51,336
"20901119918",37,15,"2119918",36,94,354
"20901119931",29,7,"2119931",24,41,296
"20901120009",23,24,"2120009",36,99,263
"20901120022",27,10,"2120022",32,77,363
"20901120026",16,15,"2120026",45,74,281
"20901120329",23,17,"2120329",27,81,390
"20902120820",21,5,"2120820",6,31,209
"20901120101",28,8,"2120101",48,74,309
"20901120102",32,21,"2120102",52,111,386
"20901120104",28,12,"2120104",33,87,308
"20901120118",28,18,"2120118",28,100,313
"20901120204",29,9,"2120204",5,53,221
"20901120208",42,23,"2120208",23,75,422
"20901120210",44,14,"2120210",19,72,394
"20901120222",40,4,"2120222",30,77,385
"20901120223",71,25,"2120223",39,115,530
"20901120240",55,13,"2120240",24,89,395
"20901120307",49,11,"2120307",14,77,392
"20901120310",40,3,"2120310",20,64,337
"20901120224",38,3,"2120224",20,84,323
"20901120230",42,16,"2120230",21,104,445
"20901120232",40,15,"2120232",26,71,362
"20901120233",42,17,"2120233",28,90,406
"20901120343",24,8,"2120343",16,69,234
"20901120344",18,3,"2120344",11,41,178
"20901120402",34,13,"2120402",14,49,279
"20901120404",47,17,"2120404",31,60,421
"20901120405",48,14,"2120405",20,71,418
"20901120406",48,22,"2120406",28,80,474
"20901120416",31,6,"2120416",26,42,329
"20901120418",40,18,"2120418",21,75,483
"20902142923",34,20,"2142923",38,107,442
"20901120419",15,3,"2120419",14,44,212
"20901120420",31,6,"2120420",12,50,306
"20902120503",42,4,"2120503",29,77,329
"20902120510",21,0,"2120510",34,56,315
"20902120517",0,0,"2120517",0,0,0
"20902120524",34,17,"2120524",30,84,271
"20902120719",33,7,"2120719",16,62,353
"20902120723",26,14,"2120723",24,74,395
"20902120728",39,16,"2120728",28,64,394
"20902120735",44,14,"2120735",36,78,536
"20902120738",36,11,"2120738",21,82,416
"20902120824",30,13,"2120824",29,77,398
"20902120526",33,3,"2120526",39,62,1178
"20902120708",37,20,"2120708",19,69,347
"20902120711",30,4,"2120711",13,44,294
"20902120713",44,10,"2120713",24,64,482
"20902142924",30,13,"2142924",12,59,318
"20902120715",47,3,"2120715",6,44,475
"20902120744",16,0,"2120744",0,16,300
"20902120745",16,0,"2120745",16,28,258
"20902120747",22,4,"2120747",6,39,347
"20902120802",50,10,"2120802",46,105,572
"20902120803",50,4,"2120803",49,91,438
"20902120812",30,16,"2120812",14,59,271
"20902120756",24,4,"2120756",15,34,267
"20902120808",30,8,"2120808",29,68,476
"20902120826",42,20,"2120826",39,83,422
"20902120832",52,10,"2120832",44,94,508
"20902120835",35,5,"2120835",9,49,341
"20902120836",44,15,"2120836",37,91,462
"20902120840",56,13,"2120840",48,76,454
"20902120847",23,3,"2120847",13,31,339
"20902120855",12,9,"2120855",9,34,264
"20902142801",0,0,"2142801",0,0,4
"20902142817",37,7,"2142817",30,95,412
"20902142818",35,16,"2142818",44,109,440
"20902142820",32,3,"2142820",18,67,391
"20902142822",29,10,"2142822",29,71,355
"20902142823",39,20,"2142823",22,94,410
"21205132651",16,3,"2132651",21,36,173
"20902142831",86,39,"2142831",112,260,799
"20902142922",56,9,"2142922",41,113,472
"20902142839",40,16,"2142839",15,96,469
"20902142903",36,20,"2142903",21,74,304
"20902142907",30,10,"2142907",27,64,400
"20902142910",28,11,"2142910",13,74,342
"20903120901",47,24,"2120901",32,104,366
"20903120902",22,8,"2120902",20,44,207
"20903120903",36,21,"2120903",22,72,371
"20903120916",39,15,"2120916",23,73,312
"20903120918",30,27,"2120918",23,59,317
"20903120920",18,6,"2120920",18,76,214
"20903120921",32,10,"2120921",20,74,270
"20903120922",40,17,"2120922",18,88,337
"20903120924",69,24,"2120924",26,90,447
"20903120930",34,12,"2120930",36,73,282
"20903120932",24,4,"2120932",13,36,178
"20903120934",48,14,"2120934",34,88,404
"20903120943",33,3,"2120943",11,34,232
"20903120945",26,12,"2120945",21,66,415
"20903120953",22,9,"2120953",21,47,271
"20903120956",29,12,"2120956",21,67,250
"20903121010",51,18,"2121010",11,40,369
"20903120938",30,14,"2120938",24,70,283
"20903120940",23,5,"2120940",10,25,194
"20903120952",30,11,"2120952",10,51,245
"20903121101",18,5,"2121101",3,17,160
"20903121106",42,6,"2121106",3,40,413
"20904121607",30,3,"2121607",17,72,304
"20903121110",24,12,"2121110",10,25,280
"20903121209",0,0,"2121209",0,0,0
"20903121305",37,13,"2121305",24,94,452
"20903121303",13,3,"2121303",7,33,189
"20903121216",25,13,"2121216",23,30,195
"20903121309",19,10,"2121309",7,61,269
"20903121310",20,6,"2121310",7,41,178
"20903121313",45,11,"2121313",17,61,362
"20903121320",32,6,"2121320",6,14,185
"20903121508",34,6,"2121508",12,48,230
"20903121507",40,14,"2121507",11,61,369
"20903121322",18,4,"2121322",3,14,159
"20903121405",30,15,"2121405",23,59,302
"20903121402",42,8,"2121402",16,64,306
"20903121516",15,12,"2121516",9,40,199
"20903121524",33,9,"2121524",12,34,273
"20903121413",25,10,"2121413",19,37,214
"20903121536",36,0,"2121536",9,25,275
"20904121601",33,11,"2121601",33,85,596
"20904121604",36,3,"2121604",12,50,320
"20903121412",28,10,"2121412",25,64,294
"20904121610",0,0,"2121610",0,0,0
"20904121703",19,4,"2121703",19,37,244
"20904121705",34,3,"2121705",12,49,318
"20904121713",30,3,"2121713",17,55,411
"20904121903",29,0,"2121903",4,24,348
"20904121920",36,9,"2121920",17,43,472
"20904121922",17,0,"2121922",5,18,247
"20904121926",12,5,"2121926",0,21,240
"20904121927",12,0,"2121927",3,19,211
"20904121929",33,9,"2121929",14,20,364
"20904121948",28,3,"2121948",14,27,313
"20904122006",39,3,"2122006",19,57,392
"21001122613",37,5,"2122613",20,49,420
"20904122010",34,3,"2122010",4,49,319
"20904122011",25,4,"2122011",10,43,288
"20904122013",34,7,"2122013",19,30,363
"20904122014",30,4,"2122014",12,43,284
"20904122015",28,6,"2122015",6,33,301
"20904122016",40,3,"2122016",10,54,413
"21001123006",41,13,"2123006",18,86,419
"20904122017",20,0,"2122017",7,26,241
"20904122022",52,11,"2122022",15,46,392
"20904122026",27,0,"2122026",8,43,336
"20904122033",41,16,"2122033",10,67,404
"20904122111",33,8,"2122111",29,60,373
"20904122038",25,5,"2122038",8,45,342
"20904122039",16,5,"2122039",10,35,203
"20904122042",44,4,"2122042",3,44,321
"20904122308",40,4,"2122308",31,67,423
"20904122043",40,3,"2122043",0,33,245
"20904122044",31,3,"2122044",11,28,305
"20904143017",31,6,"2143017",7,46,298
"20904122112",33,4,"2122112",14,48,353
"20904122122",22,7,"2122122",8,26,215
"20904122302",38,3,"2122302",23,32,470
"20904122124",38,10,"2122124",10,51,384
"20904122306",24,3,"2122306",12,25,333
"20904122312",39,0,"2122312",3,37,490
"21001122819",39,3,"2122819",12,79,394
"20904122313",16,3,"2122313",10,37,314
"20904122319",28,3,"2122319",12,23,333
"20904122323",17,0,"2122323",3,21,294
"20904122330",20,0,"2122330",3,26,292
"20904122326",21,3,"2122326",8,29,374
"20904122327",12,3,"2122327",4,13,203
"20904122328",23,0,"2122328",6,30,307
"20904122348",19,0,"2122348",8,20,346
"20904122350",0,0,"2122350",0,0,4
"20904122409",37,8,"2122409",3,26,353
"20904122420",11,5,"2122420",0,10,215
"20904122421",22,3,"2122421",0,26,379
"20904122520",13,0,"2122520",8,9,221
"20904143020",51,3,"2143020",8,51,402
"20904143032",30,7,"2143032",3,29,198
"20904122429",49,7,"2122429",14,74,538
"20904122501",31,12,"2122501",10,32,294
"20904122509",39,6,"2122509",3,28,439
"20904122510",44,3,"2122510",12,65,399
"20904122511",18,4,"2122511",4,18,272
"20904122514",25,3,"2122514",6,25,267
"20904143004",67,11,"2143004",13,74,559
"20904143006",56,19,"2143006",9,78,492
"20904143008",21,3,"2143008",10,25,215
"20904143009",36,7,"2143009",16,40,304
"20904143012",84,16,"2143012",36,83,639
"20904143013",75,12,"2143013",6,77,597
"20904143041",19,7,"2143041",4,32,209
"20904143042",36,3,"2143042",11,34,323
"20904143105",9,0,"2143105",3,15,195
"20904143111",33,3,"2143111",4,12,290
"20904143120",12,6,"2143120",13,8,153
"20904143124",42,3,"2143124",11,36,478
"20904143126",21,0,"2143126",27,48,236
"20904143129",31,3,"2143129",14,35,259
"20904143202",20,0,"2143202",9,15,163
"20904143213",27,8,"2143213",10,43,375
"20904143223",26,0,"2143223",9,18,276
